Country Name,Country Code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,2717247.00045898,2823589.99988604,2658574.99952586,2629238.9995973003,2508227.9996840297,2500894.00018612,1349456.0001136,861745.000024272,872746.0000077721,898415.0000405391,883747.0000096719
Afghanistan,AFG,1650150.012305068,2273540.009144016,4206048.997435712,6769281.991167833,8463436.00527841,12240445.99659062,10755311.003005408,9050155.99821255,8467102.98463833,9035488.003736734,8672454.987608016
Angola,AGO,22266023.997166328,25151953.007641997,25709337.007643197,27792192.989481796,29057308.008046348,30586446.99925316,34176440.007447205,33692395.987385936,44851077.00160934,34583476.995929025,34693487.00403824
Albania,ALB,3898020.999336749,3927356.999042535,4374731.000330646,4378397.998976281,4598418.000237264,5240143.000496375,4924780.999488357,4913780.001124432,5489498.99943984,4616752.999487902,4536079.000049024
Andorra,AND,546383.000003104,539048.999999776,539049.000039588,517046.999968569,517046.999989198,491378.000009472,487711.000023237,476710.000020776,462042.000008795,465708.999985432,469375.999967776
Arab World,ARB,1382458999.970964,1360284650.8893805,1491783270.944507,1581643105.9381626,1643369716.9123802,1660509275.1394317,1841219035.1768897,1823115055.9834716,1932296313.8831456,1953773932.9903102,1904104417.9682934
United Arab Emirates,ARE,123728246.99934138,135554322.02074698,157167619.9823648,168274962.99875268,158623419.04082748,171626600.97385865,219792646.03222755,220713062.9846769,226143890.00956374,194765370.995621,206323754.95914963
Argentina,ARG,175436614.01239544,175176257.014921,189107189.99014848,179961692.00663477,187904413.98144162,191622752.01065648,193027212.99988395,193701941.0033919,195777463.002539,201167953.00637057,201347635.98383737
Armenia,ARM,4378398.001327437,5056792.99927269,5551837.999438878,4360062.999093195,4209715.998948161,4917447.000953382,5694850.999194752,5496833.000552224,5529836.000995722,4803770.000288429,5155801.999516526
American Samoa,ASM,,,,,,,,,,,
Antigua and Barbuda,ATG,443707.000028736,469376.00000897405,480376.999957322,509713.00002579,524380.999964716,513379.99996130704,524380.9999600151,524380.999967944,528048.000000054,546382.999959456,557383.999981185
Australia,AUS,365346877.080549,372090490.00910395,385904079.07447195,394792887.021732,390861862.9303375,391818950.0914662,388126280.9911162,372317843.88874286,361316843.9538289,365332209.0423621,375907837.0003572
Austria,AUT,71818194.99937545,69419977.00316504,68811254.99616225,62793707.99894747,67564474.99593134,65063581.0004768,62324331.996476226,62529683.99899949,58903020.998865314,61264569.00355687,61447918.99586761
Azerbaijan,AZE,39167227.00261665,30509440.00013,35503893.9973954,31902900.003822975,30678121.99945783,33248688.99826072,35397550.99852466,35496559.99956522,37385065.00008231,37597750.998289324,37619752.99668579
Burundi,BDI,187016.996197088,187016.99845955402,190683.997234934,190683.99978903998,308028.003787374,425372.00105640595,388702.001231136,410704.00348527,385034.99750242097,403369.99568962003,495045.000445808
Belgium,BEL,107204745.04739478,103658755.99909858,104447160.9991656,99306027.00515297,110259356.04605064,99969754.0017893,95132980.99779463,97501862.99589075,93563504.99603437,99346363.99666198,96889473.9976672
Benin,BEN,3872352.004087944,4495741.999810773,4411400.995666021,4660757.001788852,5089795.999905081,5060459.9997161105,4803769.995801248,5042124.996080523,5375822.00310873,6065217.99473064,6475921.996341709
Burkina Faso,BFA,1360456.999116304,1595144.994158646,1789495.997607975,1895839.001724178,2104857.994961079,2200199.999841189,2698912.005678804,2929932.996520725,2959269.002593592,3329635.994793248,3417643.99870373
Bangladesh,BGD,43567626.9591552,44539381.98070169,49625510.94851507,54473285.00573948,60223140.93285513,63233748.06793805,67670817.92785099,69456647.07526629,73758037.97155151,81073703.02674109,84245657.98525444
Bulgaria,BGR,48991119.997803986,52254749.999815315,50740278.99828251,42665545.00027573,44114009.9985934,49354152.99846408,44862078.00010493,39599933.00123075,42328181.00333546,44737400.00281994,41708458.00274696
Bahrain,BHR,19493771.9989863,26846107.002231907,29768705.99600436,28217565.00546704,29266326.9946626,28848289.00346883,27553837.998205908,31407855.00548643,31367517.997357752,32892989.99608193,31693881.006197266
"Bahamas, The",BHS,1778495.000078452,1796830.0000794781,2361548.000022523,1606145.99987026,2387217.000076398,1800497.0000495068,1906839.999857728,2871260.999818624,2350546.999954666,2016849.9998408721,1785829.0001352448
Bosnia and Herzegovina,BIH,17564930.001292128,17652937.999024685,20153831.999120504,20703881.999583136,21275934.001083646,23886838.0015825,22258689.99929809,21921325.999815993,19424098.99839785,18569688.000367753,21847985.99852359
Belarus,BLR,62071309.00414399,60523835.00211917,63105403.004586674,61220565.00056625,63043063.995552786,64062490.00006103,62969723.99874912,63054064.997016385,62801042.00189891,58279630.99687016,58279631.00340931
Belize,BLZ,443706.99996829696,476710.000132275,436372.999860138,586719.999910275,539049.000018144,601387.999922844,476709.99986999994,513380.000023145,495045.000093644,579386.000060235,568384.9998432
Bermuda,BMU,652726.00017449,729733.00004504,649059.000005624,476710.0000191,608722.000024212,443706.99996987596,366700.000023036,509712.999982821,649058.999983066,557384.000003675,612388.999972638
Bolivia,BOL,15056701.996354524,12332121.004185038,13237870.00284159,13872260.999295747,15188714.001633689,16299815.001626365,18819044.002168603,19149073.996404976,20329847.99853731,20073158.0001142,21605964.00082567
Brazil,BRA,347668269.96953094,363212682.97078955,387631235.9271183,367147373.9322362,419754155.9822458,439412942.9033941,470028725.9467837,503677118.07971555,533530164.9503205,504388515.92261696,462298690.06651783
